Net,From,To,说明
5V,Nano 5V,J1-1 S1_5V,S1 FSR 一端
S1_SIG,J1-2 S1_SIG,Nano A0,S1 信号
S1_SIG,J1-2 S1_SIG,R1-1,S1 下拉电阻上端
GND,R1-2,Nano GND,S1 下拉到地
5V,Nano 5V,J2-1 S2_5V,S2 FSR 一端
S2_SIG,J2-2 S2_SIG,Nano A1,S2 信号
S2_SIG,J2-2 S2_SIG,R2-1,S2 下拉电阻上端
GND,R2-2,Nano GND,S2 下拉到地
5V,Nano 5V,J3-1 S3_5V,S3 FSR 一端
S3_SIG,J3-2 S3_SIG,Nano A2,S3 信号
S3_SIG,J3-2 S3_SIG,R3-1,S3 下拉电阻上端
GND,R3-2,Nano GND,S3 下拉到地
5V,Nano 5V,J4-1 S4_5V,S4 FSR 一端
S4_SIG,J4-2 S4_SIG,Nano A3,S4 信号
S4_SIG,J4-2 S4_SIG,R4-1,S4 下拉电阻上端
GND,R4-2,Nano GND,S4 下拉到地
M1_CTRL,Nano D5,R5-1,M1 控制
M1_BASE,R5-2,Q1-B,S9012 基极
M1_BASE,Q1-B,R6-1,基极上拉
5V,R6-2,Q1-E,Q1 发射极接 5V
M1_POS,Q1-C,J5-1 M1_POS,M1 马达正极
GND,J5-2 M1_GND,Nano GND,M1 马达负极
M1_POS,D1-K,J5-1 M1_POS,M1 保护二极管阴极
GND,D1-A,J5-2 M1_GND,M1 保护二极管阳极
M2_CTRL,Nano D6,R7-1,M2 控制
M2_BASE,R7-2,Q2-B,S9012 基极
M2_BASE,Q2-B,R8-1,基极上拉
5V,R8-2,Q2-E,Q2 发射极接 5V
M2_POS,Q2-C,J6-1 M2_POS,M2 马达正极
GND,J6-2 M2_GND,Nano GND,M2 马达负极
M2_POS,D2-K,J6-1 M2_POS,M2 保护二极管阴极
GND,D2-A,J6-2 M2_GND,M2 保护二极管阳极
